model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
7073,2017,12000,2,15944,0,150,57.7,1.0
7079,2018,14000,1,9083,0,150,57.7,1.0
7079,2017,13000,1,12456,0,150,57.7,1.0
7073,2019,17500,1,10460,0,145,40.3,1.5
7073,2019,16500,2,1482,0,145,48.7,1.0
7073,2015,10500,1,35432,0,145,47.9,1.6
7073,2017,9000,1,13054,0,145,54.3,1.2
7585,2019,25500,2,6894,1,145,42.2,2.0
7079,2018,10000,1,48141,0,145,61.4,1.0
7073,2018,11561,1,18803,0,145,56.5,1.0
6967,2018,13500,1,12065,0,145,54.3,1.0
7073,2017,11000,1,20978,0,0,65.7,1.0
7585,2018,17999,0,9002,1,145,54.3,2.0
7585,2018,18999,0,8970,1,145,58.9,1.5
7585,2018,14399,1,12810,1,145,64.2,1.5
7585,2019,17999,1,10428,1,145,38.2,2.0
7585,2018,16899,1,14680,1,145,54.3,2.0
7073,2017,10999,1,12427,0,20,62.8,1.0
7073,2019,12500,1,25521,0,145,55.4,1.0
7073,2018,9499,1,20400,0,145,55.4,1.1
7073,2017,10500,1,24926,0,145,65.7,1.0
7073,2017,8995,1,26163,0,145,65.7,1.0
7585,2014,8995,1,59000,1,160,47.9,2.0
7073,2014,6795,1,35299,0,0,65.7,1.0
7079,2017,18499,1,13063,0,145,41.5,2.0
7073,2015,8299,1,25935,0,0,65.7,1.0
7073,2018,12499,1,8700,0,145,58.9,1.0
7073,2017,8699,1,25000,0,125,54.3,1.2
7073,2016,7999,1,60730,1,0,78.5,1.5
7073,2017,8991,1,18561,0,145,54.3,1.2
7079,2019,18990,1,8400,0,145,60.1,1.0
7073,2013,7236,1,39090,0,0,65.7,1.0
7585,2018,15287,0,33149,1,145,58.9,1.5
7585,2019,21378,1,3259,1,145,39.2,2.0
7073,2018,9814,1,15100,0,145,65.7,1.0
7073,2017,8788,1,15612,0,145,65.7,1.0
7073,2018,12251,1,8920,0,145,58.9,1.0
7585,2017,16320,1,24803,1,145,60.1,2.0
7073,2019,13140,1,7,0,145,48.7,1.1
7073,2018,10491,0,43019,0,145,48.7,1.0
7585,2016,13870,0,41607,1,145,54.3,2.0
7079,2017,14960,1,23554,0,145,41.5,2.0
7073,2019,13540,1,6923,0,145,58.9,1.0
7079,2019,17970,1,10985,1,145,74.3,1.5
7073,2016,6000,1,47613,0,0,65.7,1.0
7073,2016,6395,1,31562,0,125,54.3,1.2
7079,2019,14495,1,8131,0,145,58.9,1.0
7079,2019,17995,1,11496,1,145,57.6,2.0
7073,2013,5495,1,51271,0,30,54.3,1.2
7585,2018,16995,2,7189,1,145,58.9,1.5
7585,2018,16495,1,29428,1,145,54.3,1.5
7585,2018,17998,1,12162,0,145,39.2,1.5
7079,2019,17498,1,2714,0,150,49.6,1.0
7073,2013,5998,1,44304,1,0,76.4,1.5
7585,2019,17698,1,4844,0,145,34.4,1.5
7585,2016,11000,1,31810,1,125,60.1,2.0
6967,2017,8700,1,43081,0,145,44.8,1.5
7585,2017,15300,1,47159,1,145,54.3,2.0
7073,2013,7490,1,25000,0,0,65.7,1.0
7079,2017,10760,1,29891,0,145,60.1,1.0
7585,2019,18760,1,10237,0,145,39.2,1.5
7073,2014,6360,1,48653,0,0,65.7,1.0
7073,2014,6270,1,60888,0,0,65.7,1.0
7585,2017,17920,2,15815,0,235,38.2,1.5
7073,2013,4790,1,74128,0,0,65.7,1.0
7079,2015,7830,1,50124,1,0,74.3,1.5
7073,2015,6990,1,29851,1,0,76.4,1.5
7073,2015,6700,1,28935,0,30,54.3,1.2
7073,2018,9498,1,30925,0,145,65.7,1.0
7079,2018,13698,1,13418,0,145,58.9,1.0
7073,2018,13298,1,13756,0,145,58.9,1.0
7585,2015,14398,1,25175,1,145,54.3,2.0
7073,2017,8998,1,21267,0,145,64.2,1.1
7073,2019,12698,1,12130,0,145,56.5,1.0
7073,2019,11998,1,17354,0,145,56.5,1.0
7073,2019,13498,1,15822,0,145,58.9,1.0
7073,2019,13498,1,10557,0,145,58.9,1.0
7079,2016,9698,1,20786,0,20,61.4,1.0
7079,2016,24995,1,7997,0,235,36.7,2.3
7073,2017,9895,1,19079,0,145,65.7,1.0
7073,2018,12995,1,14979,0,145,58.9,1.0
7073,2016,8495,1,24410,0,125,54.3,1.2
7073,2019,13895,1,13600,0,145,58.9,1.0
7079,2018,18298,1,21456,1,145,67.3,2.0
7079,2015,9198,1,31512,1,0,74.3,1.5
7073,2016,10798,1,11843,0,0,65.7,1.0
7073,2016,8998,1,31373,0,0,65.7,1.0
7585,2018,18498,1,7796,1,145,54.3,1.5
7585,2017,13498,1,26597,1,145,54.3,2.0
7585,2017,14998,1,15978,1,30,64.2,1.5
7585,2017,13998,2,13265,0,240,38.2,1.5
6967,2016,9998,1,20491,0,125,52.3,1.0
7079,2017,17698,1,14557,0,145,41.5,2.0
7079,2017,11498,0,30917,0,125,51.4,1.0
7079,2017,12798,1,22153,1,145,74.3,1.5
7585,2019,19495,1,13673,1,145,47.9,2.0
7073,2018,9995,1,25776,0,145,65.7,1.0
7079,2016,10995,1,30923,1,0,74.3,1.5
7585,2017,13998,1,24504,1,150,64.2,1.5
7073,2017,11998,1,6568,0,145,62.8,1.0
7585,2018,16698,1,5117,1,145,54.3,1.5
6967,2016,8998,1,31736,0,125,53.3,1.0
7073,2015,7998,1,19212,0,0,65.7,1.0
7073,2018,12495,1,12426,0,145,65.7,1.0
7585,2018,16995,1,34690,1,145,60.1,2.0
7073,2018,11995,1,32168,0,145,65.7,1.0
7585,2019,19995,1,11312,1,145,47.9,2.0
7073,2017,8995,1,31559,0,145,65.7,1.0
6967,2018,14698,1,6442,0,145,54.3,1.0
7073,2016,10498,0,29590,0,0,57.7,1.0
7079,2018,14495,1,17030,0,145,57.7,1.0
7079,2016,8995,1,22493,0,20,60.1,1.0
7079,2016,15995,1,29600,1,20,67.3,2.0
7079,2015,7995,1,56655,1,20,67.3,1.6
7585,2019,19995,1,16000,1,150,47.9,2.0
7079,2018,12995,1,9781,0,145,60.1,1.0
6967,2018,12998,1,17241,0,145,54.3,1.0
7073,2017,10498,1,50599,0,0,65.7,1.0
7079,2018,11298,0,37880,1,150,74.3,1.5
7585,2016,10698,1,56888,1,125,60.1,2.0
7079,2018,15995,1,10500,0,145,60.1,1.0
7073,2019,13950,1,6700,0,145,58.9,1.0
7073,2017,10650,1,31800,0,150,65.7,1.0
7073,2016,7995,1,20700,0,125,54.3,1.2
7079,2016,11495,1,29900,1,0,74.3,1.5
7585,2018,16995,1,32858,1,145,54.3,2.0
7073,2018,11995,1,31593,0,145,65.7,1.0
7079,2015,10995,1,13791,0,125,51.4,1.5
7585,2019,20495,1,12034,1,145,47.9,2.0
7079,2018,19995,1,10923,1,145,67.3,2.0
7585,2019,19995,1,10171,1,145,38.2,2.0
7079,2016,10995,1,30923,1,0,74.3,1.5
6967,2019,18995,1,2291,0,145,52.3,1.0
7079,2017,11995,1,23469,0,125,51.4,1.5
7585,2017,16998,1,13626,1,125,60.1,2.0
7073,2016,7398,1,35180,0,125,54.3,1.2
7073,2019,11498,1,17708,0,145,58.9,1.0
7073,2019,13998,1,9957,0,145,58.9,1.0
7079,2019,16698,1,4542,0,145,60.1,1.0
7079,2015,12998,1,25878,1,20,67.3,2.0
6967,2016,9998,0,18325,0,160,44.8,1.5
7079,2017,12498,1,9338,0,145,60.1,1.0
6967,2018,14998,1,7133,1,145,58.9,1.5
7079,2017,10498,1,42002,0,20,60.1,1.0
7585,2017,16995,2,3700,0,145,38.2,1.5
7079,2019,15495,1,5600,0,145,60.1,1.0
7073,2015,9495,1,17288,0,0,65.7,1.0
7079,2014,7498,1,47566,0,30,56.5,1.0
7073,2017,11798,1,4262,0,0,65.7,1.0
7073,2017,10998,1,10125,0,145,65.7,1.0
7079,2017,14998,2,17028,0,150,46.3,1.5
7073,2017,8998,1,12753,0,145,54.3,1.2
7079,2016,13998,1,24895,1,20,67.3,2.0
7079,2017,17998,1,9066,0,145,41.5,2.0
7073,2019,18998,1,3292,0,145,40.3,1.5
7585,2013,9198,0,48130,1,200,45.6,2.0
7585,2015,14498,1,27513,1,145,54.3,2.0
7079,2017,14998,1,32511,0,150,41.5,2.0
7073,2016,8498,1,21888,0,125,54.3,1.2
7073,2019,13995,1,11130,0,145,58.9,1.0
7079,2017,18498,1,14441,0,145,41.5,2.0
7079,2018,13998,1,13401,0,145,60.1,1.0
7073,2019,12798,1,10567,0,145,58.9,1.0
7073,2019,14698,1,7872,0,145,58.9,1.0
6967,2018,12498,1,10222,0,145,54.3,1.0
7073,2017,9998,1,28519,0,20,62.8,1.0
7585,2017,13998,1,51772,1,125,60.1,2.0
7073,2016,9500,2,7350,0,0,57.7,1.0
7585,2019,21498,2,5354,0,150,31.0,1.5
7079,2017,17998,1,19525,0,145,41.5,2.0
6967,2018,14498,1,11922,0,145,54.3,1.0
7073,2016,7998,1,16070,0,125,54.3,1.2
7079,2018,10998,1,26648,0,145,61.4,1.0
7073,2017,10998,1,19140,0,145,62.8,1.0
7079,2016,9998,1,26399,1,0,74.3,1.5
7073,2013,5498,1,53545,0,30,54.3,1.2
7073,2017,9298,1,25491,0,0,65.7,1.0
7073,2014,7298,1,31359,0,0,65.7,1.0
7079,2016,8498,1,51656,1,0,74.3,1.5
7585,2016,17698,0,11221,1,145,54.3,2.0
